year,quarter,region,critical_incidents,p1_mtta_min,p1_mttr_min,auto_resolved_pct,false_positive_pct
2022,Q1,APAC,22,31,128,34.2,12.6
2022,Q2,APAC,20,29,121,36.5,12.1
2022,Q3,Global,24,28,117,38.9,11.7
2022,Q4,Global,27,27,112,41.3,11.2
2023,Q1,APAC,25,26,109,43.7,10.9
2023,Q2,APAC,23,25,104,45.5,10.4
2023,Q3,Global,26,24,99,48.1,9.8
2023,Q4,Global,28,23,95,50.4,9.5
2024,Q1,APAC,24,22,92,52.8,9.1
2024,Q2,APAC,22,21,89,54.2,8.7
2024,Q3,Global,25,20,85,56.6,8.3
2024,Q4,Global,26,19,82,58.9,7.9
2025,Q1,Global,23,18,79,60.7,7.6
2025,Q2,Global,21,18,76,62.1,7.2
2025,Q3,Global,20,17,74,63.4,6.9
2025,Q4,Global,19,16,71,65.0,6.5
