year,quarter,revenue_usd_m,growth_pct,region,new_customers,renewal_rate_pct,operating_margin_pct,support_sla_pct
2022,Q1,2.2,5.1,APAC,48,91.2,18.4,97.9
2022,Q2,2.4,6.3,APAC,53,91.8,18.9,98.1
2022,Q3,2.6,7.0,Global,59,92.4,19.6,98.3
2022,Q4,2.9,8.1,Global,66,93.1,20.2,98.5
2023,Q1,3.0,6.9,APAC,71,93.6,20.8,98.6
2023,Q2,3.2,7.4,APAC,75,94.1,21.3,98.7
2023,Q3,3.5,8.2,Global,82,94.8,22.1,98.8
2023,Q4,3.8,8.8,Global,89,95.3,22.9,98.9
2024,Q1,3.6,8.5,APAC,93,95.8,23.1,99.0
2024,Q2,3.9,7.2,APAC,97,96.0,23.5,99.1
2024,Q3,4.2,6.8,Global,102,96.4,24.1,99.2
2024,Q4,5.1,9.4,Global,118,97.1,25.0,99.3
2025,Q1,4.7,7.5,Global,121,97.0,24.7,99.2
2025,Q2,5.0,8.3,Global,128,97.4,25.4,99.3
2025,Q3,5.3,8.9,Global,134,97.8,26.1,99.4
2025,Q4,5.8,9.8,Global,142,98.2,27.0,99.5
